ean:,nombre,precio,imagen_link
maizena,//Colada Maizena Cereal  Sabor A Arequipe X 180Gr ,$5100,https://lh3.googleusercontent.com/5qpnZL4E_tmAEY6CpKbnuQQNOevePCfhBhPjGB4Wf-8xD0ItqOAeXNZP-ODtIa7Db1hPsKZhjfKieHvpknTlSJbD3TQ8pv89YIU=s650-rw
maizena,//$ Maizena Natilla X  300G Maracuya Nav18 ,$6700,https://lh3.googleusercontent.com/D9zVx7lh0r1XT09sTDuOjW6eLJx9WfklKMRdIdSpy15lWpYslpFLL92R-VDcdfKvZgA5O1DK58lWOO_RTrKI305ekukjfm08ILF9VF_UZWbeo4viPA=s650-rw
maizena,//$Mezcla Para Buñuelos  Maizena X 300G Nav18  ,$6700,https://lh3.googleusercontent.com/7zvAZvON14noqNUUoq0zpUtgWRNRrBIgqs2wMV9RgaHxAb8K1h8__U-zd_fzOpC8Y40GzWhDSEwItCTYLPxg8sAMj6Q1zG2skjxyqBcGTNcBFWg=s650-rw
maizena,//Maizena Natilla Coco X300gr Unilever,$5700,https://lh3.googleusercontent.com/exTrlxb4DDDXvPfaRL_RJL0cncl69eWW1vUf2J_DiIf2b7mstsK1Haj7vrfmhI7dcKUV5dsVC15tvm1llwJ_4DdNDBV8tvpP5A=s650-rw
maizena,//$ Maizena Natilla X  300G Arequipe Nav18 ,$6700,https://lh3.googleusercontent.com/-0LeDEB0ypfQMewGJoxMH1UKnnUrORou-v9e12nzGqhRsVcN3d9PJ-7GW034xXpcGEhD_5cQbnGjyDCbXWLecfK5OSmYwfjwrs8yG4L91l2WlFImMA=s650-rw
maizena,//Natilla Maizena X 340Gr ,$5500,https://lh3.googleusercontent.com/exTrlxb4DDDXvPfaRL_RJL0cncl69eWW1vUf2J_DiIf2b7mstsK1Haj7vrfmhI7dcKUV5dsVC15tvm1llwJ_4DdNDBV8tvpP5A=s650-rw
maizena,//Colada Maizena Fresa 12X18x30gr,$1200,https://lh3.googleusercontent.com/exTrlxb4DDDXvPfaRL_RJL0cncl69eWW1vUf2J_DiIf2b7mstsK1Haj7vrfmhI7dcKUV5dsVC15tvm1llwJ_4DdNDBV8tvpP5A=s650-rw
maizena,//Colada Maizena Vainilla 12X18x30gr,$1200,https://lh3.googleusercontent.com/exTrlxb4DDDXvPfaRL_RJL0cncl69eWW1vUf2J_DiIf2b7mstsK1Haj7vrfmhI7dcKUV5dsVC15tvm1llwJ_4DdNDBV8tvpP5A=s650-rw
maizena,//Colada Maizena Arequipe 12X18x30gr,$1200,https://lh3.googleusercontent.com/exTrlxb4DDDXvPfaRL_RJL0cncl69eWW1vUf2J_DiIf2b7mstsK1Haj7vrfmhI7dcKUV5dsVC15tvm1llwJ_4DdNDBV8tvpP5A=s650-rw
maizena,//Colada Maizena Chocolate 12X18x30gr,$900,https://lh3.googleusercontent.com/exTrlxb4DDDXvPfaRL_RJL0cncl69eWW1vUf2J_DiIf2b7mstsK1Haj7vrfmhI7dcKUV5dsVC15tvm1llwJ_4DdNDBV8tvpP5A=s650-rw
maizena,//$ Maizena Natilla X  300G Coco Nav18 ,$6700,https://lh3.googleusercontent.com/kxQqO494PupZzKPJtpzA3VfOrjwUEW4qi7753UL44q_XgSj5_0JLdq-8muZTw-KjXtAp4A5nQ8SuG56vvpCFqetlsnGl6tpUnZuZZamBqkvBNp4=s650-rw
maizena,//Mezcla Lista Maizena Natilla Arequipe X300g,$6500,https://lh3.googleusercontent.com/exTrlxb4DDDXvPfaRL_RJL0cncl69eWW1vUf2J_DiIf2b7mstsK1Haj7vrfmhI7dcKUV5dsVC15tvm1llwJ_4DdNDBV8tvpP5A=s650-rw
maizena,//Fecula Maiz Maizena Cereal Es X300g,$6400,https://lh3.googleusercontent.com/exTrlxb4DDDXvPfaRL_RJL0cncl69eWW1vUf2J_DiIf2b7mstsK1Haj7vrfmhI7dcKUV5dsVC15tvm1llwJ_4DdNDBV8tvpP5A=s650-rw
